Insight,Variable 1,Variable 2,Direction,Pearson r,Pearson p,Pearson q (BH-FDR),Spearman rho,Spearman p,Effect size,Reporting note
Higher GAD-7 anxiety score is associated with higher intention to leave.,GAD-7 anxiety score,intention to leave,increases together,0.4411,0.0,0.0,0.3548,0.0003,Moderate,Association only; this does not establish causation.
Higher support resource need is associated with higher burnout.,support resource need,burnout,increases together,0.4348,0.0,0.0,0.3729,0.0001,Moderate,Association only; this does not establish causation.
Higher supervisor support is associated with lower intention to leave.,supervisor support,intention to leave,inverse relationship,-0.4251,0.0,0.0,-0.3873,0.0001,Moderate,Association only; this does not establish causation.
Higher PHQ-9 depression score is associated with higher burnout.,PHQ-9 depression score,burnout,increases together,0.3955,0.0001,0.0003,0.4008,0.0,Moderate,Association only; this does not establish causation.
Higher second victim emotional impact is associated with lower peer support.,second victim emotional impact,peer support,inverse relationship,-0.3933,0.0001,0.0003,-0.4073,0.0,Moderate,Association only; this does not establish causation.
Higher peer support is associated with lower work withdrawal / mental-health-day impact.,peer support,work withdrawal / mental-health-day impact,inverse relationship,-0.3707,0.0002,0.0005,-0.4044,0.0,Moderate,Association only; this does not establish causation.
Higher professional growth is associated with higher support resource need.,professional growth,support resource need,increases together,0.3657,0.0002,0.0005,0.2009,0.0461,Moderate,Association only; this does not establish causation.
Higher peer support is associated with lower intention to leave.,peer support,intention to leave,inverse relationship,-0.342,0.0005,0.0011,-0.3292,0.0009,Moderate,Association only; this does not establish causation.
Higher age is associated with lower burnout.,age,burnout,inverse relationship,-0.3371,0.0006,0.0013,-0.3002,0.0025,Moderate,Association only; this does not establish causation.
Higher peer support is associated with higher supervisor support.,peer support,supervisor support,increases together,0.3224,0.0011,0.0024,0.3735,0.0001,Moderate,Association only; this does not establish causation.
Higher second victim emotional impact is associated with higher professional growth.,second victim emotional impact,professional growth,increases together,0.3156,0.0015,0.0032,0.2419,0.0159,Moderate,Association only; this does not establish causation.
Higher peer support is associated with lower burnout.,peer support,burnout,inverse relationship,-0.3049,0.0022,0.0045,-0.3163,0.0014,Moderate,Association only; this does not establish causation.
